name,category,address,lat,lng,rating
Atelier,restaurant,540 Rochester St Ottawa ON,45.4015,-75.7117,4.7
Beckta Dining & Wine,restaurant,150 Elgin St Ottawa ON,45.4205,-75.6928,4.5
Union Local 613,restaurant,315 Somerset St W Ottawa ON,45.4154,-75.6953,4.6
Restaurant Les Fougeres,restaurant,783 Route 105 Chelsea QC,45.5047,-75.7823,4.6
Sansotei Ramen,restaurant,153 Bank St Ottawa ON,45.4217,-75.6985,4.4
North & Navy,restaurant,226 Nepean St Ottawa ON,45.4166,-75.6902,4.5
Absinthe Cafe,restaurant,1208 Wellington St W Ottawa ON,45.4036,-75.7297,4.3
Riviera,restaurant,62 Sparks St Ottawa ON,45.4231,-75.7009,4.6
Supply and Demand,restaurant,1335 Wellington St W Ottawa ON,45.4035,-75.7328,4.5
Fauna,restaurant,425 Bank St Ottawa ON,45.4152,-75.6913,4.4
The Whalesbone,restaurant,430 Bank St Ottawa ON,45.4150,-75.6906,4.5
Town,restaurant,296 Elgin St Ottawa ON,45.4197,-75.6880,4.6
Chez Lucien,restaurant,137 Murray St Ottawa ON,45.4294,-75.6937,4.5
Fraser Cafe,restaurant,7 Springfield Rd Ottawa ON,45.4448,-75.6768,4.6
El Camino,restaurant,380 Elgin St Ottawa ON,45.4177,-75.6897,4.4
Gezellig,restaurant,337 Richmond Rd Ottawa ON,45.3888,-75.7583,4.5
Fiazza Fresh Fired,restaurant,86 Murray St Ottawa ON,45.4291,-75.6964,4.6
Play Food & Wine,restaurant,1 York St Ottawa ON,45.4290,-75.6954,4.5
The Keg Steakhouse + Bar,restaurant,700 Sussex Dr Ottawa ON,45.4294,-75.6980,4.2
Shawarma Palace,restaurant,464 Rideau St Ottawa ON,45.4310,-75.6795,4.7
Art-Is-In Bakery,restaurant,250 City Centre Ave Ottawa ON,45.4093,-75.7191,4.6
Burgers n' Fries Forever,restaurant,329 Bank St Ottawa ON,45.4177,-75.6926,4.4
Social,restaurant,537 Sussex Dr Ottawa ON,45.4290,-75.7000,4.4
Chez Edgar,restaurant,60 Rue Bégin Gatineau QC,45.4298,-75.7232,4.6
Datsun,restaurant,380 Elgin St Ottawa ON,45.4177,-75.6897,4.5
Whalesbone Oyster House,restaurant,231 Elgin St Ottawa ON,45.4198,-75.6904,4.6
The Manx Pub,restaurant,370 Elgin St Ottawa ON,45.4174,-75.6895,4.4
Wilf & Ada's,restaurant,510 Bank St Ottawa ON,45.4136,-75.6915,4.5
Two Six Ate,restaurant,268 Preston St Ottawa ON,45.4044,-75.7068,4.5
Wolf Down,restaurant,380 Bank St Ottawa ON,45.4164,-75.6923,4.5
MeNa,restaurant,276 Preston St Ottawa ON,45.4039,-75.7069,4.6
The Third,restaurant,1017 Wellington St W Ottawa ON,45.4027,-75.7243,4.5
La Bottega,restaurant,64 George St Ottawa ON,45.4279,-75.6925,4.5
Ottawa Bagelshop and Deli,restaurant,1321 Wellington St W Ottawa ON,45.4037,-75.7312,4.4
Pure Kitchen,restaurant,357 Richmond Rd Ottawa ON,45.3891,-75.7584,4.5
Das Lokal,restaurant,190 Dalhousie St Ottawa ON,45.4283,-75.6915,4.5
The Rex,restaurant,40 Adeline St Ottawa ON,45.4194,-75.7091,4.5
Mati,restaurant,428 Preston St Ottawa ON,45.4003,-75.7083,4.5
Baker Street Cafe,restaurant,385 Richmond Rd Ottawa ON,45.3899,-75.7573,4.5
Stella Luna Gelato Cafe,restaurant,1103 Bank St Ottawa ON,45.3989,-75.6816,4.8
The Fry,restaurant,156 Bank St Ottawa ON,45.4220,-75.6987,4.3
Zak's Diner,restaurant,14 Byward Market Sq Ottawa ON,45.4272,-75.6937,4.2
Ahora Mexican Cuisine,restaurant,307 Dalhousie St Ottawa ON,45.4316,-75.6910,4.3
Benny & Co,restaurant,5530 Canotek Rd Ottawa ON,45.4744,-75.5560,4.3
Bar Lupulus,restaurant,1242 Wellington St W Ottawa ON,45.4026,-75.7271,4.4
Corazón De Maíz,restaurant,55 Byward Market Sq Ottawa ON,45.4288,-75.6933,4.5
Métropolitain Brasserie,restaurant,700 Sussex Dr Ottawa ON,45.4296,-75.6988,4.4
St. Martha's Brasserie D'Orleans,restaurant,3095 St Joseph Blvd Ottawa ON,45.4829,-75.5065,4.6
Wellington Gastropub,restaurant,1325 Wellington St W Ottawa ON,45.4039,-75.7317,4.5
Dim Sum Go Go,restaurant,317 Dalhousie St Ottawa ON,45.4315,-75.6912,4.2
Jimmy's Waffle World,restaurant,5862 Hazeldean Rd Stittsville ON,45.2612,-75.9198,4.6
The Grand Pizzeria,restaurant,74 George St Byward Market Ottawa ON,45.4275,-75.6929,4.4
The SconeWitch,restaurant,388 Albert St Centretown Ottawa ON,45.4168,-75.7048,4.7
Meatings BBQ,restaurant,1010 Polytek St Orleans Ottawa ON,45.4761,-75.5498,4.5
Chesterfields Gastropub,restaurant,1433 Wellington St W Wellington West Ottawa ON,45.4026,-75.7346,4.2
The Hintonburg Public House,restaurant,1020 Wellington St W Hintonburg Ottawa ON,45.4029,-75.7247,4.3
Bowman's Bar & Grill,restaurant,1170 Carling Ave Carleton Place Ottawa ON,45.3891,-75.7380,4.0
Petit Bill's Bistro,restaurant,1293 Wellington St W Wellington West Ottawa ON,45.4034,-75.7298,4.5
The Foolish Chicken,restaurant,79 Holland Ave Westboro Ottawa ON,45.3989,-75.7300,4.6
Anthony's Pizza,restaurant,1218 Wellington St W Wellington West Ottawa ON,45.4036,-75.7297,4.3
La Roma,restaurant,430 Preston St Little Italy Ottawa ON,45.4004,-75.7084,4.6
Kanata Noodle House,restaurant,150 Katimavik Rd Kanata Ottawa ON,45.3135,-75.9062,4.4
The King Eddy,restaurant,45 Clarence St Byward Market Ottawa ON,45.4283,-75.6921,4.5
Mandarin Ogilvie,restaurant,1137 Ogilvie Rd Gloucester Ottawa ON,45.4430,-75.6056,4.2
Mamma Teresa Ristorante,restaurant,300 Somerset St W Somerset Ottawa ON,45.4151,-75.6976,4.5
Vanier Grill,restaurant,292 Montreal Rd Vanier Ottawa ON,45.4351,-75.6664,4.1
Broadway Bar & Grill,restaurant,1896 Prince of Wales Dr Nepean Ottawa ON,45.3378,-75.7218,4.3
Kettleman's Bagel Co,restaurant,912 Bank St Glebe Ottawa ON,45.4018,-75.6877,4.5
Elgin Street Diner,restaurant,374 Elgin St Centretown Ottawa ON,45.4161,-75.6890,4.3
House of Targ,restaurant,1077 Bank St Old Ottawa South Ottawa ON,45.3999,-75.6818,4.5
Rangoon,restaurant,634 Somerset St W Chinatown Ottawa ON,45.4119,-75.7073,4.6
The Works,restaurant,326 Richmond Rd Westboro Ottawa ON,45.3890,-75.7585,4.2
Shanghai Restaurant,restaurant,651 Somerset St W Chinatown Ottawa ON,45.4117,-75.7082,4.1
Carmello's Restaurant,restaurant,1637 Merivale Rd Nepean Ottawa ON,45.3476,-75.7415,4.4
Royal Oak,restaurant,221 Echo Dr Rideau Ottawa ON,45.4073,-75.6829,4.3
Chances R Restaurant,restaurant,1365 Woodroffe Ave College Square Ottawa ON,45.3668,-75.7655,4.5 
